年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
1980,198007,艾達,IDA,5,"1980-07-08 14:30
1980-07-11 15:15",輕度,980,30,200,40,13
1980,198005,喬琪亞,GEORGIA,---,"1980-05-23 15:30
1980-05-25 04:45",輕度,985,28,150,50,7
1979,197919,狄普,TIP,---,"1979-10-15 16:00
1979-10-18 14:10",強烈,870,58,450,200,13
1979,197915,奧文,OWEN,---,"1979-09-25 21:00
1979-09-27 09:30",強烈,920,53,300,120,7
1979,197910,茱迪,JUDY,---,"1979-08-22 05:00
1979-08-24 10:00",強烈,910,58,250,100,10
1979,197909,歐敏,IRVING,6,"1979-08-12 15:00
1979-08-16 05:40",中度,955,40,400,120,15
1979,197908,賀璞,HOPE,5,"1979-07-31 16:15
1979-08-02 15:05",強烈,895,67,300,110,9
1979,197907,戈登,GORDON,---,"1979-07-27 10:10
1979-07-29 09:20",輕度,970,28,200,50,9
1979,197905,艾勒士,ELLIS,---,"1979-07-03 16:45
1979-07-05 09:30",中度,950,45,250,100,8
1978,197823,婀拉,ORA,6,"1978-10-11 15:30
1978-10-14 09:00",中度,940,40,200,70,12
1978,197812,黛拉,DELLA,2,"1978-08-12 15:40
1978-08-13 15:00",輕度,985,20,150,---,5
1978,197811,卡門,CARMEN,---,"1978-08-15 08:30
1978-08-16 15:00",中度,965,38,200,100,6
1978,197808,范迪,WENDY,---,"1978-07-27 06:30
1978-07-30 10:00",中度,960,40,400,150,13
1978,197804,羅絲,ROSE,3,"1978-06-23 15:00
1978-06-25 05:00",輕度,993,20,150,---,7
1978,197802,歐莉芙,OLIVE,---,"1978-04-24 14:45
1978-04-26 04:00",中度,955,43,200,80,7
1977,197712,芙瑞達,FREDA,---,"1977-09-24 04:10
1977-09-24 15:00",輕度,980,28,200,50,3
1977,197710,黛納,DINAH,---,"1977-09-15 10:30
1977-09-17 05:00",中度,965,35,250,50,8
,,,,,"1977-09-18 16:00
1977-09-22 15:40",中度,965,33,250,50,17
1977,197708,寶佩,BABE,---,"1977-09-07 16:00
1977-09-09 15:30",強烈,910,65,350,150,9
