"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"86年 10月"," 59,500,866"," 54,283,667"," 10,025,569"," 15,991,755","  1,009,237"," 14,982,518","  2,093,792","  1,626,171","    467,621"," 11,975,213","  7,515,048","          －","          －","          －"," -6,368,267","        183"," 10,553,392","          －","    311,821"," 10,241,571","    192,937","    648,663","  1,218,365","    279,235","    106,847","          －","          －","          －","          －","     50,935","          －","          －","          －","  5,217,199","          －"
"86年 11月","116,815,212","111,541,995","  9,959,102"," 16,956,433","  1,991,012"," 14,965,421","  1,741,807","  1,386,688","    355,119"," 13,568,772","  7,995,686","          －","          －","          －"," 46,465,764","        229"," 11,932,834","          －","  3,649,315","  8,283,519","    119,531","    593,349","  1,142,283","    915,398","    110,148","          －","          －","          －","          －","     40,659","          －","          －","          －","  5,273,217","          －"
"86年 12月"," 97,559,829"," 95,351,745"," 11,365,381"," 17,507,284","    553,840"," 16,953,444","  1,704,445","  1,227,038","    477,407"," 12,014,233"," 10,590,034","          －","          －","          －"," -5,674,209","        100"," 45,620,470","        246"," 33,539,049"," 12,081,175","    148,628","    208,942","  1,397,012","    309,600","    113,897","          －","          －","          －","          －","     45,928","          －","          －","          －","  2,208,084","          －"
"87年","1,372,668,109","1,314,044,458","109,614,172","412,629,625","193,327,861","219,301,764"," 24,570,941"," 16,416,997","  8,153,944","147,711,225"," 95,298,575","    378,597","          －","          －","249,865,431","     12,132","161,172,377","          －"," 46,650,572","114,521,805"," 43,930,749"," 41,888,377"," 13,189,650","  7,500,764","  1,392,525","          －","          －","          －","          －","  4,889,318","          －","          －","          －"," 58,623,651","          －"
"87年 1月","123,392,787","117,895,415","  7,811,425"," 25,967,663","  2,762,194"," 23,205,469","  1,303,595","    888,006","    415,589"," 11,088,424","  5,380,964","          －","          －","          －"," 48,217,884","      2,943"," 15,115,201","          －","  5,906,221","  9,208,980","    109,597","    761,724","  1,012,137","    968,430","    111,191","          －","          －","          －","          －","     44,237","          －","          －","          －","  5,497,372","          －"
"87年 2月"," 85,525,340"," 81,643,502","  8,749,192"," 37,628,826"," 14,255,771"," 23,373,055","  2,160,074","  1,471,446","    688,628"," 15,064,340"," 12,892,602","          －","          －","          －"," -6,244,294","          －","  9,104,103","          －","    417,131","  8,686,972","     90,636","    834,482","    981,632","    221,409","    118,897","          －","          －","          －","          －","     41,603","          －","          －","          －","  3,881,838","          －"
"87年 3月","146,592,889","141,645,618"," 10,549,877"," 45,802,820"," 21,453,921"," 24,348,899","  2,568,892","  1,788,075","    780,817"," 11,964,797"," 12,339,008","          －","          －","          －"," 45,033,141","      1,895","  9,652,940","          －","    344,643","  9,308,297","    103,886","  1,351,494","  1,205,070","    904,036","    124,895","          －","          －","          －","          －","     42,867","          －","          －","          －","  4,947,271","          －"
"87年 4月","113,870,956","108,207,289","  9,915,140"," 41,260,129"," 13,839,981"," 27,420,148","  1,545,280","    959,384","    585,896"," 13,407,210","  9,412,251","          －","          －","          －"," -4,623,702","         18","  9,196,782","          －","    302,765","  8,894,017","    506,480"," 26,027,043","  1,075,084","    307,859","    115,601","          －","          －","          －","          －","     62,114","          －","          －","          －","  5,663,667","          －"
"87年 5月","196,840,990","191,071,066","  8,884,477"," 64,136,058"," 26,444,316"," 37,691,742","  3,708,922","  1,398,781","  2,310,141"," 11,870,765","  6,953,581","          －","          －","          －"," 47,725,324","        203","  9,685,358","          －","    180,789","  9,504,569"," 24,623,768","  9,123,746","  1,014,622","    934,602","    112,923","          －","          －","          －","          －","  2,296,717","          －","          －","          －","  5,769,924","          －"
"87年 6月","100,442,842"," 96,741,774"," 10,298,518"," 33,456,863"," 14,756,051"," 18,700,812","  2,199,884","  1,483,929","    715,955"," 15,316,936","  8,465,768","          －","          －","          －"," -6,524,099","        555"," 11,852,075","          －","    265,988"," 11,586,087"," 16,863,133","    846,419","  1,290,676","    468,541","    131,043","          －","          －","          －","          －","  2,075,462","          －","          －","          －","  3,701,068","          －"
"87年 7月","149,791,696","144,732,202","  9,572,095"," 54,398,489"," 52,220,771","  2,177,718","  1,686,915","  1,272,345","    414,570","  6,604,131","  8,232,237","          －","          －","          －"," 49,766,894","      3,764"," 11,149,661","          －","    208,686"," 10,940,975","    501,969","    622,662","  1,139,651","    865,942","    113,149","          －","          －","          －","          －","     74,643","          －","          －","          －","  5,059,494","          －"
"87年 8月"," 57,546,519"," 59,908,693","  8,436,184"," 26,254,475"," 13,122,207"," 13,132,268","  1,473,854","  1,075,678","    398,176"," 12,440,539","  5,841,257","     19,544","          －","          －"," -7,153,383","      2,348"," 10,139,091","          －","    216,324","  9,922,767","    361,515","    606,483","  1,001,084","    312,074","    113,507","          －","          －","          －","          －","     60,121","          －","          －","          －"," -2,362,174","          －"
"87年 9月","127,699,898","123,888,181","  9,088,356"," 36,836,234"," 29,151,050","  7,685,184","  1,477,790","  1,040,888","    436,902","  8,582,638","  6,541,441","     55,993","          －","          －"," 48,275,996","        122"," 10,141,632","          －","    121,164"," 10,020,468","    271,079","    334,010","  1,120,701","    976,601","    126,837","          －","          －","          －","          －","     58,751","          －","          －","          －","  3,811,717","          －"
"87年 10月"," 59,198,659"," 54,324,215","  8,462,324"," 17,048,858","  3,102,475"," 13,946,383","  1,638,210","    989,008","    649,202"," 17,109,568","  5,731,650","     78,160","          －","          －"," -6,426,648","         60","  8,360,448","          －","    128,972","  8,231,476","    188,372","    692,900","  1,097,749","    189,291","    106,143","          －","          －","          －","          －","     47,130","          －","          －","          －","  4,874,444","          －"
"87年 11月","121,973,658","108,993,705","  8,312,642"," 15,325,943","  1,925,945"," 13,399,998","  1,554,369","  1,255,946","    298,423"," 13,107,915","  7,801,508","     98,814","          －","          －"," 48,545,679","        108"," 11,492,005","          －","  3,802,287","  7,689,718","    152,281","    499,275","    986,779","    974,121","    102,660","          －","          －","          －","          －","     39,606","          －","          －","          －"," 12,979,953","          －"
"87年 12月"," 89,791,875"," 84,992,798","  9,533,942"," 14,513,267","    293,179"," 14,220,088","  3,253,156","  2,793,511","    459,645"," 11,153,962","  5,706,308","    126,086","          －","          －"," -6,727,361","        116"," 45,283,081","          －"," 34,755,602"," 10,527,479","    158,033","    188,139","  1,264,465","    377,858","    115,679","          －","          －","          －","          －","     46,067","          －","          －","          －","  4,799,077","          －"
